#{"t_start": 1788027529.1706028, "env_id": "None"}
r,l,t,phase,player_health
-11.251356,1800,2.783096,2,16.0
-86.227359,582,3.410184,2,0.0
-62.464595,1800,5.650615,1,72.0
-67.89295,1056,6.726388,1,0.0
-79.799482,833,7.772407,2,0.0
-42.525561,1800,9.834357,2,16.0
-92.042234,1800,12.376184,2,44.0
-74.356848,746,13.518657,2,0.0
-50.447928,1800,17.316946,2,16.0
-79.424035,857,18.939976,2,0.0
-14.5139,1800,22.162992,1,58.0
-65.813993,1800,26.521197,2,30.0
-79.482768,1016,28.779199,2,0.0
-94.001873,1275,31.783431,2,0.0
-40.342917,1257,34.311483,1,0.0
-4.347122,1800,38.352694,3,30.0
-44.467239,1663,41.969527,1,0.0
-55.122875,460,42.838372,2,0.0
-55.153499,1800,71.425134,1,44.0
-14.79691,1800,75.05576,1,86.0
-59.990249,916,77.136308,2,0.0
-54.315668,801,78.848332,2,0.0
-62.011013,1800,83.14425,2,44.0
-48.10257,1800,87.436725,2,58.0
-29.242813,1800,91.640779,1,72.0
-66.252246,1019,93.919967,1,0.0
-81.643392,1218,96.59838,1,0.0
-46.216195,833,98.325538,2,0.0
-66.353473,506,99.326147,2,0.0
-18.869186,1800,103.365171,1,44.0
-49.057958,1028,105.640105,1,0.0
-59.396871,887,107.702904,2,0.0
-86.709818,1287,110.774969,2,0.0
-48.817406,1342,114.033798,2,0.0
-23.020784,1122,116.265015,1,0.0
-41.500348,1636,119.968417,1,0.0
-39.739286,1490,123.593234,1,0.0
-36.541423,1413,149.78263,1,0.0
11.045109,1486,152.999038,2,0.0
-34.857075,671,154.545461,2,0.0
-16.089711,548,155.81366,2,0.0
-26.629746,862,157.61766,2,0.0
-35.93577,871,159.531496,1,0.0
-49.826612,1063,162.25627,2,0.0
-45.709262,537,163.429281,2,0.0
-32.51683,1718,166.774237,1,0.0
-50.246724,1008,168.698824,1,0.0
-23.148345,994,170.707825,1,0.0
-43.999102,410,171.461324,2,0.0
-27.595479,772,173.195569,2,0.0
-56.812016,685,174.59009,2,0.0
14.903591,1173,176.823197,2,0.0
-36.0704,1150,179.639898,2,0.0
26.30026,1681,182.866202,2,0.0
-34.60822,1523,186.123259,1,0.0
-46.173155,842,188.067254,2,0.0
20.427419,1800,191.702067,1,44.0
-42.229357,622,193.057692,2,0.0
-34.751012,1064,195.231698,1,0.0
-63.87433,653,196.714149,2,0.0
-65.547134,913,198.912959,2,0.0
42.97304,1800,221.969236,1,30.0
-46.64462,1270,224.977081,1,0.0
-29.84514,789,226.546738,2,0.0
-50.120054,1108,228.947776,1,0.0
-0.652008,1336,231.702605,2,0.0
-32.880486,1556,235.047493,1,0.0
-36.746792,1162,237.72691,2,0.0
-23.010242,623,239.121493,2,0.0
-36.650755,1696,242.95981,1,0.0
36.645707,1800,246.862238,2,16.0
-46.593682,952,249.337246,2,0.0
32.369895,1484,252.334985,2,0.0
-45.272312,943,254.601314,2,0.0
-44.715263,831,256.765238,2,0.0
-59.140339,660,258.509334,2,0.0
-30.366093,476,259.683392,2,0.0
-37.791608,885,261.715158,1,0.0
-33.9855,929,263.752932,2,0.0
31.52702,1800,267.25307,1,86.0
-32.853606,1373,270.005545,1,0.0
-31.149371,1060,272.364988,2,0.0
-68.637077,668,274.047953,2,0.0
-42.597792,460,275.054224,2,0.0
10.089978,1800,300.518949,1,2.0
-33.888952,584,301.910064,2,0.0
-33.632123,1260,305.119699,1,0.0
-46.643513,1041,307.774061,2,0.0
-3.879778,1227,310.902056,1,0.0
-47.097545,1147,313.911027,1,0.0
-44.056713,927,316.236917,1,0.0
-46.164591,1219,319.400345,1,0.0
4.808949,1800,324.422084,1,58.0
-25.066771,1174,327.58431,1,0.0
-22.428231,1279,330.619564,1,0.0
-55.199023,455,331.808945,2,0.0
-42.923895,1017,334.183541,1,0.0
-52.030106,594,335.636358,2,0.0
-30.911378,787,337.573142,2,0.0
-45.272264,530,338.803229,2,0.0
-26.838917,594,340.26311,2,0.0
-50.093718,686,342.005449,2,0.0
53.497713,1800,346.291365,1,44.0
-45.030283,1030,348.789153,1,0.0
-58.343488,533,350.091583,2,0.0
-48.243375,718,351.788644,2,0.0
-37.21437,721,353.6233,1,0.0
-51.917435,555,354.711514,1,0.0
-39.752688,983,356.988598,1,0.0
