#{"t_start": 1788029232.3753262, "env_id": "None"}
r,l,t,phase,player_health
-110.559667,1062,2.563698,2,0.0
-70.495586,1212,3.837178,1,0.0
-72.123005,1800,6.233576,1,44.0
-97.583974,1380,7.860394,1,0.0
-112.816058,1251,9.1917,1,0.0
-79.68401,639,9.906712,2,0.0
-99.940463,758,10.762958,2,0.0
-78.460886,1139,12.01345,2,0.0
-55.634514,505,12.681808,2,0.0
-69.774142,926,14.32688,2,0.0
-72.447956,781,15.797904,2,0.0
-26.658411,1800,19.445112,2,2.0
-55.465961,1800,23.218374,2,44.0
-57.086488,1800,26.951356,1,2.0
-62.685594,1800,31.173284,2,2.0
-51.604087,1719,34.706273,1,0.0
-28.471384,1800,38.462003,1,30.0
-53.626206,1800,42.754966,2,16.0
-46.281826,1800,69.048464,1,44.0
-59.851259,1800,73.439866,2,30.0
-44.350267,1800,77.522825,1,72.0
-67.845174,799,79.217644,2,0.0
-22.427955,1800,83.289107,1,72.0
-39.611849,1800,87.382327,1,16.0
-68.726801,1800,91.554371,1,16.0
-41.967627,1800,95.415642,1,30.0
-50.315897,1800,99.595804,2,2.0
-60.751319,1800,103.816894,1,30.0
-44.572397,1800,107.904753,1,72.0
-57.921707,904,109.923063,2,0.0
-49.477298,1800,113.893745,1,0.0
-54.696779,1800,117.789613,1,16.0
-44.470845,1210,120.404953,1,0.0
4.228794,1800,145.747432,1,2.0
-55.431289,803,147.41431,2,0.0
-71.509036,1618,151.02242,1,0.0
-19.650088,1800,155.323411,2,16.0
-67.151323,1064,157.765487,2,0.0
-34.734958,1800,162.074402,2,58.0
-37.811846,1800,166.285241,1,2.0
-36.638356,1800,170.334468,1,44.0
-47.968421,926,172.487357,2,0.0
-46.310569,1800,176.624954,1,16.0
-62.657421,1800,180.926522,1,72.0
-22.318652,1573,184.281814,1,0.0
-48.699357,1800,188.408944,1,2.0
-50.211243,1800,192.698725,2,2.0
-20.129319,1800,196.743926,1,72.0
-49.676771,640,198.142927,2,0.0
-41.024978,1800,202.373904,2,2.0
-45.564023,1800,226.153968,1,16.0
-56.062024,1024,228.578626,2,0.0
-36.503229,1800,232.986965,2,16.0
-2.017281,1800,237.056458,1,2.0
-33.569432,1800,241.546403,2,2.0
-33.11945,1460,244.856339,1,0.0
-51.889019,1116,247.253388,1,0.0
-58.388956,1039,250.034775,2,0.0
-43.010112,849,252.094649,2,0.0
-46.821966,1431,255.497534,2,0.0
-51.088616,696,257.041491,2,0.0
-78.852308,1608,261.11529,2,0.0
-27.485585,1739,264.930844,1,0.0
-8.051018,1800,269.007769,1,72.0
-54.592519,833,271.074559,2,0.0
-32.607653,1774,274.827812,1,0.0
-32.93984,1286,277.699779,1,0.0
-47.675533,736,279.310802,2,0.0
-59.744874,778,303.011244,2,0.0
-66.491879,1154,305.900315,2,0.0
-3.05644,1800,309.73219,1,58.0
-53.332783,1076,312.193861,1,0.0
-2.289171,1800,316.470161,1,58.0
5.511227,1800,320.464573,1,30.0
6.239894,1800,324.716899,1,30.0
-61.168275,908,326.850645,2,0.0
-2.125553,1800,331.053431,1,2.0
-52.809895,1800,335.538672,2,16.0
-67.292751,1358,338.954714,2,0.0
-63.796675,1044,341.510231,2,0.0
-47.732021,795,343.292638,2,0.0
-39.733661,1800,347.760119,1,16.0
-21.942318,1800,352.028497,1,58.0
-43.778659,731,353.802864,2,0.0
-23.204461,1800,358.409454,1,2.0
-53.315835,1647,386.087775,1,0.0
-49.65203,855,388.204234,2,0.0
