#{"t_start": 1788028519.6212783, "env_id": "None"}
r,l,t,phase,player_health
-36.718763,1422,2.005836,2,0.0
-93.738562,1800,3.455272,1,16.0
-50.819331,1800,4.603239,2,2.0
-77.902409,1800,5.86403,1,44.0
-74.176644,873,6.412483,2,0.0
-72.379942,1019,7.153626,1,0.0
-67.347558,1677,28.476039,1,0.0
-58.06474,1598,31.611731,2,0.0
-41.16761,1800,35.427732,1,44.0
4.33544,1800,39.048938,1,30.0
-71.651523,1236,41.913492,2,0.0
-36.924942,747,43.434981,1,0.0
-65.848337,1006,46.027592,2,0.0
-57.302735,1120,48.711701,2,0.0
-65.375485,922,72.494161,2,0.0
-54.504314,878,74.582416,2,0.0
-30.721207,1800,78.838502,1,30.0
-67.343649,1684,82.838416,1,0.0
-60.41814,839,84.899057,2,0.0
-54.553591,829,86.800675,2,0.0
10.176309,1481,89.832574,2,0.0
-41.750499,1800,94.202355,2,16.0
-62.792717,1607,119.500286,1,0.0
-59.516806,1341,122.53042,1,0.0
-54.832984,751,124.200504,2,0.0
-20.449482,1800,127.923043,1,16.0
-54.931048,1045,130.183037,1,0.0
-79.307322,1215,132.862993,1,0.0
-63.876772,1541,136.296795,1,0.0
-40.448206,776,157.173721,1,0.0
-33.835367,1800,161.600191,1,16.0
-67.873392,1335,164.539834,1,0.0
-36.977596,631,165.848614,2,0.0
-62.729327,621,167.216758,2,0.0
-56.332909,1124,169.691307,1,0.0
-36.210842,1800,173.788656,1,16.0
-58.853124,1225,176.786724,2,0.0
-65.285894,930,179.050457,2,0.0
-63.619096,731,201.681452,2,0.0
-75.570614,1293,204.613573,1,0.0
-50.626066,442,205.499998,2,0.0
-40.275614,1800,209.52226,1,100.0
6.232243,1800,213.113828,2,44.0
-36.030732,1800,217.173501,2,30.0
-39.984665,1401,220.176441,2,0.0
-30.719625,1643,243.027622,2,0.0
-36.298237,1800,247.213638,1,2.0
-27.126237,1800,251.416863,1,16.0
-64.5926,968,253.757855,2,0.0
-42.955731,1800,257.915377,2,2.0
-56.924587,677,259.466528,2,0.0
-57.179637,858,261.412369,2,0.0
-50.47737,736,263.0461,2,0.0
-65.455505,910,265.171849,2,0.0
-19.992837,1800,292.215224,1,30.0
-58.567032,1005,294.715811,2,0.0
-46.349635,1188,297.341612,1,0.0
-28.535368,1800,301.524211,1,44.0
-43.933624,710,302.989954,1,0.0
-38.678996,1800,307.05191,1,44.0
-39.652666,838,308.925242,2,0.0
-56.623274,1455,335.531992,1,0.0
-53.517645,1800,339.815481,2,16.0
-41.683621,1800,344.08919,2,2.0
-5.725459,1800,348.00252,1,16.0
-33.516392,791,349.608169,2,0.0
-63.39416,751,351.274471,2,0.0
-71.476053,839,353.255362,2,0.0
-50.519038,858,355.320362,2,0.0
-63.893165,1363,379.405659,2,0.0
-54.770121,1051,381.900213,2,0.0
-56.191138,1189,384.551305,1,0.0
-37.113373,887,386.496931,1,0.0
-39.745764,1671,390.417166,1,0.0
-43.795247,1800,394.949293,2,2.0
-60.173361,1559,398.488039,2,0.0
-70.738398,1284,401.391337,1,0.0
