#{"t_start": 1787942153.421015, "env_id": "None"}
r,l,t,phase,player_health
-149.569622,1800,3.239159,1,72.0
-221.70362,1800,5.607217,3,30.0
-196.378906,1800,7.719792,2,58.0
-133.940276,1074,8.650915,1,0.0
-184.08161,1800,11.025367,2,44.0
-248.389412,1800,13.337356,2,58.0
-174.732415,1800,18.010988,2,44.0
-110.756778,464,18.945668,3,0.0
-168.244663,1057,21.670802,3,0.0
-165.633912,1800,26.535567,3,86.0
-174.497449,1800,31.422354,3,16.0
-182.483028,1800,36.363234,3,58.0
-128.111293,1800,41.407185,3,44.0
-179.347728,1800,45.704493,1,58.0
-201.166886,1800,50.814244,3,72.0
-150.655498,1800,55.250912,2,44.0
-126.007469,695,56.928738,3,0.0
-165.978507,1597,60.73115,1,0.0
-129.187854,951,62.955194,2,0.0
-102.253665,1800,67.634553,3,30.0
-103.441778,633,69.142306,3,0.0
-64.981912,1800,72.850196,1,86.0
-91.866908,1800,76.627179,1,30.0
-105.279188,805,78.452576,2,0.0
-152.299503,1410,82.056005,2,0.0
-141.577074,1800,87.10756,3,58.0
-205.29504,1515,91.395929,3,0.0
-96.322218,968,93.505166,2,0.0
-152.853545,1800,98.864992,2,30.0
-191.591221,1669,103.183204,3,0.0
-92.470591,869,105.154629,2,0.0
-127.39009,1416,108.379933,1,0.0
-154.307308,1800,113.216024,3,72.0
-105.925101,1800,140.51405,3,44.0
-96.750568,1800,145.063869,1,30.0
-146.02674,1555,149.059075,2,0.0
-97.600047,1800,154.314976,3,30.0
-165.215752,1771,159.03645,1,0.0
-115.168434,949,161.530918,2,0.0
-129.797812,1800,166.400672,1,58.0
-95.619441,1800,170.573273,1,86.0
-137.951143,1757,175.124339,2,0.0
-109.187478,1800,179.366636,1,44.0
-110.560197,1800,184.314805,1,16.0
-112.35222,1427,187.913245,1,0.0
-126.416234,1800,193.056167,2,44.0
-114.617532,1800,198.31917,2,44.0
-94.115606,770,200.081679,3,0.0
-52.868932,1800,204.30909,2,72.0
-107.108592,779,206.795882,3,0.0
-101.497564,904,208.922865,2,0.0
-89.758922,1800,213.218213,1,72.0
-99.452526,1800,218.717367,3,58.0
-95.790394,1141,221.731459,1,0.0
-113.005007,1800,227.11119,2,16.0
-101.084143,1800,232.413764,2,44.0
-88.985757,688,234.397985,3,0.0
-94.474972,924,236.786126,2,0.0
-98.878036,1800,241.964364,1,72.0
-101.947889,1800,247.525968,3,2.0
-82.158296,1800,252.232579,1,58.0
-90.690169,577,253.629845,2,0.0
-137.098589,1800,258.843404,2,30.0
-88.671675,1800,264.029534,3,58.0
-130.690553,1285,267.618595,2,0.0
-129.026767,935,270.094876,2,0.0
-109.220234,1800,301.08957,3,30.0
-81.069764,1800,305.992314,1,86.0
-121.54692,1800,311.218706,2,72.0
-133.275626,1800,316.404369,3,30.0
-92.756637,611,318.198196,3,0.0
-62.709285,1800,322.693056,1,58.0
-58.803593,1800,327.359404,2,16.0
-108.733885,1800,331.924415,2,2.0
-37.961687,1800,337.091375,4,2.0
-56.59268,1800,341.835849,1,86.0
-78.353189,1800,347.381931,2,44.0
-104.003492,1800,352.745132,3,30.0
-108.937422,1800,357.559364,3,44.0
-75.176326,1800,362.597458,3,58.0
-119.253513,1800,368.160125,3,58.0
-96.2736,1800,373.463931,3,100.0
-106.572839,1800,378.623068,2,58.0
