#{"t_start": 1787997884.7397525, "env_id": "None"}
r,l,t,phase,player_health
-82.343387,787,1.942456,1,0.0
-75.646969,502,2.26566,3,0.0
-158.813119,1800,4.103097,3,58.0
-119.604196,1134,4.966009,1,0.0
-137.260633,1800,6.651021,1,2.0
-97.202647,800,7.401765,3,0.0
-67.441311,535,7.801504,3,0.0
-170.124665,1800,9.641065,3,30.0
-125.232351,1800,12.537446,2,30.0
-131.786195,1684,15.725059,1,0.0
-109.445797,1800,19.717731,2,58.0
-55.9403,1800,22.777958,2,16.0
-16.274306,1800,25.97033,2,100.0
-120.785731,1800,29.605662,1,44.0
-104.718548,1800,33.036634,1,44.0
-60.884302,1800,36.275933,1,100.0
-83.665668,579,37.499751,3,0.0
-86.249993,705,38.994068,3,0.0
-132.219511,1800,42.611809,1,16.0
-77.703717,1800,47.024009,3,2.0
-58.153938,1800,51.068547,2,16.0
-76.322882,913,53.154851,2,0.0
-100.026169,1800,57.377758,1,30.0
-66.426336,1800,61.156721,1,44.0
-105.863515,1800,64.95999,1,30.0
-79.994258,1800,68.436883,1,58.0
-75.880906,1800,72.018051,2,2.0
-60.68366,1800,75.643807,2,44.0
-58.348006,877,77.105309,2,0.0
-55.020984,1800,80.356529,1,44.0
-135.768185,1362,83.261121,2,0.0
-106.303319,1232,85.844602,2,0.0
-55.778251,1800,89.788197,1,58.0
-68.603659,1800,114.184895,2,16.0
-59.313807,585,115.50799,3,0.0
-58.257239,1800,119.518779,1,58.0
-79.3249,1800,123.724375,2,16.0
-99.148554,1800,128.290037,1,86.0
-63.661078,1242,131.094885,2,0.0
-79.691654,1800,135.718292,2,16.0
-76.487735,1800,140.556804,3,44.0
-61.107108,842,142.588481,2,0.0
-101.181946,1767,147.178031,2,0.0
-73.707621,1071,149.730258,2,0.0
-55.508151,1800,154.206768,1,72.0
-68.862887,659,155.908776,3,0.0
-71.417478,1087,158.830717,3,0.0
-19.68826,1800,163.660343,3,58.0
-96.303947,1800,168.711671,3,2.0
-76.28985,780,170.882447,3,0.0
-19.993341,1800,175.808112,2,86.0
-44.560587,1800,180.731882,1,72.0
-62.238528,1800,185.093616,2,30.0
-47.983005,1800,189.503064,1,2.0
-66.526742,853,191.547426,2,0.0
-80.932956,1013,194.175881,3,0.0
-79.059138,1420,197.840653,2,0.0
-69.891073,1800,202.654528,2,30.0
-78.633012,694,204.504101,3,0.0
-68.989772,1800,209.81079,2,30.0
-53.159118,774,211.681015,3,0.0
-38.658916,1800,216.228227,1,30.0
-66.091418,747,218.310492,2,0.0
-78.655545,818,220.736202,2,0.0
-43.979079,1800,226.586477,2,2.0
-41.879326,1800,231.566768,2,30.0
-76.795444,890,233.798187,3,0.0
-68.959057,721,235.392019,2,0.0
-56.624363,812,237.364002,2,0.0
-82.747673,1544,241.405891,1,0.0
-59.00308,1800,272.075939,3,2.0
-50.792683,1800,277.767657,3,2.0
-91.110381,1216,281.278305,2,0.0
-57.929428,820,283.587834,2,0.0
-45.09618,1800,288.960718,1,44.0
-48.393427,1800,294.278378,2,30.0
-64.832886,1609,298.843697,1,0.0
-79.93665,1351,302.389365,2,0.0
-58.73001,1800,306.850875,1,16.0
-31.663114,1800,312.092672,2,16.0
-70.916288,1680,317.35422,1,0.0
-64.907215,1800,323.610504,3,2.0
-37.498718,1800,329.913146,2,44.0
-64.249216,929,332.612324,2,0.0
-84.302756,1186,335.944957,3,0.0
-49.169543,587,337.249411,2,0.0
-36.486084,1800,341.80632,1,16.0
-6.811608,1800,346.011827,3,72.0
-6.497661,1800,350.094469,3,44.0
-29.934228,1800,354.007007,2,44.0
-69.091645,1800,358.210575,3,2.0
-69.421536,662,359.703575,3,0.0
-18.23393,1800,363.492665,1,2.0
-54.24562,839,365.22383,2,0.0
-41.062559,1800,369.517994,2,44.0
-62.994355,941,371.801746,3,0.0
-12.513928,1800,376.511413,3,30.0
-46.629464,1800,380.690374,1,44.0
-50.6966,467,381.849684,3,0.0
-71.78477,1560,385.603889,2,0.0
-45.722764,1535,389.34265,1,0.0
-40.144093,1800,395.263829,3,16.0
-38.614681,1800,399.750389,2,30.0
-65.174154,765,401.886949,2,0.0
-58.774631,543,426.009121,3,0.0
-37.558657,1800,432.427834,1,58.0
-58.741782,1800,438.012954,1,58.0
-82.147967,1251,441.49395,3,0.0
-55.05743,583,443.049227,2,0.0
-111.741181,1199,446.789781,3,0.0
-56.038436,818,448.79474,3,0.0
-83.811352,1179,451.794693,2,0.0
-40.474856,971,454.255127,2,0.0
-66.669633,1800,459.426026,2,2.0
