#{"t_start": 1787999407.9814594, "env_id": "None"}
r,l,t,phase,player_health
-62.724819,1741,2.182552,2,0.0
-64.917183,1800,3.513722,1,72.0
-99.844409,1077,4.353607,2,0.0
-76.278627,1800,5.615655,1,44.0
-116.937872,1800,7.224653,2,16.0
-92.3201,1800,8.548725,1,16.0
-55.038937,1800,11.385018,1,58.0
-50.388683,1800,14.224664,1,58.0
-11.563542,1800,17.171915,2,44.0
-90.705046,976,18.85749,2,0.0
-66.191117,1800,22.382975,2,16.0
-28.276907,1302,24.545099,2,0.0
-43.233687,1800,27.380206,1,44.0
-99.133348,1800,30.85673,2,30.0
-68.857573,1800,34.245159,2,16.0
-55.754746,900,35.738297,2,0.0
-96.29542,1344,38.02891,1,0.0
-49.817878,1800,41.195267,1,72.0
-27.743615,1800,44.14101,1,16.0
-81.047078,1267,46.21468,1,0.0
-94.091431,1051,48.127476,2,0.0
-58.452152,1072,50.000519,1,0.0
-49.500796,1800,53.404009,2,16.0
-68.013577,1532,55.94026,1,0.0
-61.425464,1647,58.68252,1,0.0
-32.595382,1800,61.843153,1,44.0
-62.592724,1800,65.725641,2,30.0
-57.762454,1800,69.171117,1,30.0
-74.890469,1341,71.789388,1,0.0
-48.949563,1800,75.676141,2,2.0
-42.512008,1800,79.176034,1,72.0
-75.209545,968,96.845441,2,0.0
-94.980986,1512,99.964356,2,0.0
-63.555819,1451,102.578692,1,0.0
2.576576,1800,105.457385,1,86.0
-38.569952,1800,108.772689,1,44.0
-56.23385,1403,111.365757,1,0.0
-74.85183,815,112.90961,2,0.0
-20.988257,1800,116.376057,2,72.0
21.806654,1800,119.542108,2,44.0
-24.227104,1800,123.187411,2,16.0
-28.02638,1800,126.393576,1,58.0
-44.300457,1800,129.922511,1,72.0
-54.936674,1800,133.56557,1,86.0
-62.010644,827,135.164964,2,0.0
-54.22344,1800,138.837694,2,58.0
-49.55351,1800,142.577637,2,44.0
-47.859142,1050,144.475001,2,0.0
-12.796927,1800,147.527941,1,16.0
-23.61221,1800,151.358237,2,16.0
-36.957714,650,152.568356,2,0.0
-26.268892,1251,154.847225,2,0.0
-19.241462,1800,158.336186,1,2.0
-9.29355,1800,162.077566,2,58.0
-52.396159,1198,164.387246,1,0.0
-31.151375,1800,167.885937,1,44.0
-34.797511,575,169.194401,2,0.0
-44.443516,1800,173.842702,2,2.0
-47.494819,1800,177.991208,2,2.0
-73.002906,850,179.788126,2,0.0
-35.145666,1622,183.188517,1,0.0
-45.520979,1800,187.282598,1,2.0
-48.099458,1083,189.548147,2,0.0
-58.300876,1316,192.27613,2,0.0
-14.783202,1800,213.557907,1,2.0
-35.998412,1027,215.615992,2,0.0
-21.474347,1800,219.433107,1,2.0
-29.283459,1800,223.204292,1,44.0
-51.86116,1758,226.934678,2,0.0
-44.127944,988,228.737455,2,0.0
-1.941164,1800,231.642986,1,86.0
-24.774162,1800,235.09191,1,44.0
-65.521107,1409,238.101067,1,0.0
-30.101747,1800,241.677508,1,30.0
-43.779123,776,243.137692,1,0.0
-32.195487,1800,247.022289,2,44.0
-59.16188,785,248.680823,2,0.0
-39.916579,1311,251.500829,2,0.0
-32.956236,1800,255.17598,2,30.0
-10.95338,1800,259.110906,2,44.0
10.602002,1800,263.21037,3,30.0
-39.153014,1602,266.888733,1,0.0
-6.516669,1800,270.357419,1,72.0
-28.197931,1800,273.927174,1,16.0
-21.686509,1207,276.223988,1,0.0
-20.845699,1800,280.038418,2,44.0
-30.989115,1800,283.898799,2,30.0
-16.180014,1800,287.439729,1,2.0
27.61414,1800,291.002508,2,44.0
-8.203859,1800,294.640656,1,86.0
-32.122292,1800,298.215586,1,16.0
-52.389999,1086,300.305845,2,0.0
21.187364,1800,304.168202,3,30.0
-46.092637,1800,308.061749,1,30.0
-44.964594,1240,310.511529,1,0.0
-37.884227,1800,314.208836,1,44.0
-44.257795,826,333.25771,2,0.0
-45.974728,1210,335.571555,1,0.0
-22.240431,1359,338.297125,2,0.0
-11.972423,1800,341.98069,1,16.0
-40.700558,1800,345.895676,1,30.0
-41.307941,1642,349.449698,2,0.0
-43.886903,1422,352.275545,1,0.0
-36.319901,686,353.578766,2,0.0
0.651717,1800,357.759823,2,30.0
-67.467128,938,360.225508,2,0.0
-4.276129,1800,364.468234,1,2.0
3.999481,1800,368.417417,2,58.0
-37.796599,1800,372.537391,2,30.0
-40.860364,1229,375.06744,1,0.0
-56.487855,1474,378.121691,1,0.0
-61.257681,1046,380.637122,2,0.0
-47.177745,571,381.813972,2,0.0
-58.089382,1008,384.148894,2,0.0
-6.434238,1800,387.99736,2,44.0
-56.1024,1800,392.173645,2,16.0
-39.011566,648,393.579664,2,0.0
-33.637596,1800,397.551743,2,44.0
