#{"t_start": 1788024167.0879977, "env_id": "None"}
r,l,t,phase,player_health
-63.529069,1800,2.41613,3,16.0
-48.011915,353,2.613366,2,0.0
-111.497577,1800,4.033025,1,16.0
-59.109805,583,4.459484,2,0.0
-92.668836,979,5.160748,2,0.0
-38.346101,1800,6.214508,1,58.0
-91.599947,921,6.905081,2,0.0
-84.461166,1800,8.397637,2,16.0
-65.646017,1800,12.125881,2,30.0
-108.799447,1800,15.840346,2,16.0
-58.750229,1800,19.568303,3,30.0
-13.775721,1800,22.568033,2,58.0
-82.999875,1235,24.990608,1,0.0
-45.284869,1652,27.6353,2,0.0
-27.699461,1800,30.912946,3,30.0
-74.169423,1800,34.517208,2,2.0
-86.808468,851,36.189304,2,0.0
-63.61149,1544,38.861402,1,0.0
-39.737115,1800,42.121666,1,30.0
-25.591281,1800,45.605367,3,2.0
-100.106617,1716,49.365654,2,0.0
-61.660123,785,50.995746,2,0.0
-18.9357,1800,54.401334,1,16.0
-56.498193,1477,57.340218,1,0.0
-48.194277,744,58.838404,2,0.0
-103.627495,1764,62.649877,1,0.0
-44.859386,1089,64.707546,1,0.0
-34.192759,1800,68.253197,1,86.0
-37.613957,1800,72.031006,1,58.0
-10.504532,1800,75.218467,1,16.0
-79.645477,905,77.057034,2,0.0
-19.588111,1800,80.43506,1,58.0
-51.080096,1800,83.653952,1,30.0
-61.705577,791,85.257408,2,0.0
-47.948262,840,104.375608,1,0.0
-8.598159,1800,107.953815,1,58.0
-61.218986,1164,110.263698,1,0.0
-64.371702,1181,112.670534,2,0.0
-25.2908,1800,116.719981,2,16.0
-62.067049,1659,120.400039,2,0.0
-11.66642,1800,124.182473,2,16.0
-43.585361,1800,128.063436,1,16.0
-75.339574,988,130.191029,2,0.0
28.007657,1800,133.682768,2,44.0
-57.957941,1800,137.597797,1,72.0
-51.820609,935,139.466151,2,0.0
-68.369574,815,141.158844,2,0.0
-29.917341,846,142.778164,2,0.0
-47.419561,1580,146.004332,1,0.0
-44.642488,1800,150.075972,2,16.0
-1.343545,1800,153.371757,1,100.0
-45.797816,1321,156.048537,2,0.0
-70.614077,1800,160.171849,2,86.0
-49.757083,1371,162.998989,1,0.0
-8.880225,1800,166.212214,1,72.0
-49.868564,1800,169.849775,1,72.0
-50.099961,1800,173.721719,1,2.0
-15.036665,1800,178.103558,2,30.0
-61.866685,1259,180.953855,2,0.0
-16.254782,1800,184.286202,1,44.0
23.176681,1800,187.625264,2,86.0
-59.628046,1342,190.338381,1,0.0
-57.096686,1038,192.571299,2,0.0
-71.789689,1363,195.394941,1,0.0
-43.73553,1115,197.885498,2,0.0
-35.889914,1800,201.962472,1,30.0
-37.485909,1449,204.841959,1,0.0
-50.815377,1730,226.359211,1,0.0
-57.101486,1526,229.728978,1,0.0
-32.789898,1800,233.877345,2,58.0
-28.745631,1800,238.015836,1,2.0
-66.871884,1142,240.620995,2,0.0
-60.632875,1151,243.215377,1,0.0
-64.564937,1362,246.438997,2,0.0
-72.531888,1795,250.786322,1,0.0
-17.172942,1800,255.087383,2,16.0
-27.094783,1800,258.912265,1,72.0
-32.460477,1800,262.967675,1,30.0
-29.052706,1800,267.227474,2,30.0
-62.178185,1624,270.746464,2,0.0
-2.245564,1800,274.588948,1,72.0
-7.23909,1800,278.702711,1,58.0
-16.628204,1800,283.137376,2,16.0
-48.239635,819,284.920763,2,0.0
-13.997657,1800,288.590003,1,58.0
-76.15421,1676,292.844167,2,0.0
-47.186431,728,294.478317,2,0.0
-2.590912,1800,298.264206,1,30.0
-41.295416,1342,301.522207,2,0.0
-45.142264,916,303.535309,2,0.0
-63.70466,1759,307.535052,2,0.0
14.864651,1800,311.076965,1,58.0
-43.971284,1800,314.912245,1,86.0
-60.203902,1800,319.200943,2,16.0
-56.631623,1296,322.214314,1,0.0
-32.160909,1800,326.664797,1,30.0
-11.867155,1800,330.773093,2,58.0
-55.117394,1172,333.599046,2,0.0
-68.561534,1800,338.199374,2,72.0
-46.844651,1369,360.89495,1,0.0
-58.023348,1655,364.779715,2,0.0
-48.071179,1272,367.692242,1,0.0
-49.346682,1800,372.220136,2,16.0
