#{"t_start": 1788070294.3835204, "env_id": "None"}
r,l,t,phase,player_health
-54.333089,1762,2.633367,1,0.0
0.271726,1800,4.220901,1,58.0
-68.789813,816,5.153141,2,0.0
-43.26849,1784,6.656389,1,0.0
-23.192656,1800,8.804064,2,16.0
54.522175,1800,10.179867,2,30.0
61.508086,1800,12.827238,2,16.0
-53.554363,922,14.629738,2,0.0
3.054879,1800,17.894449,1,16.0
-72.922982,988,19.943139,2,0.0
-74.513667,1067,22.119266,2,0.0
-47.635358,1122,24.108217,1,0.0
-60.64449,1534,27.283252,2,0.0
-80.574054,1254,29.876212,2,0.0
-81.959362,1767,33.758569,2,0.0
-68.245286,863,35.41895,2,0.0
-52.765073,1428,38.213686,1,0.0
-76.913223,1712,58.936367,2,0.0
-72.775911,1103,61.136163,1,0.0
-62.99763,991,63.07461,1,0.0
-63.752222,647,64.412979,2,0.0
-65.61534,690,65.973206,2,0.0
-59.61003,516,66.896931,1,0.0
-54.266454,509,67.971139,2,0.0
-34.959976,1800,71.954299,1,30.0
-40.767251,1800,76.157236,1,16.0
-84.342613,1473,79.443365,1,0.0
-68.682252,801,81.196318,2,0.0
-64.086524,546,82.32276,2,0.0
-44.029666,1796,86.63415,2,0.0
-53.728619,521,87.709147,1,0.0
-48.247943,439,88.509227,1,0.0
-64.335816,748,90.13656,2,0.0
-65.459848,751,91.771883,2,0.0
-26.720281,1800,96.023489,1,58.0
-48.40873,1183,98.274877,1,0.0
-43.512517,1800,102.572158,1,16.0
-32.517954,1800,106.908527,2,2.0
-68.345697,850,108.801533,2,0.0
-41.255357,1119,111.097619,1,0.0
-67.310647,771,126.773371,2,0.0
-46.519377,444,127.685481,2,0.0
-67.300305,702,129.277709,2,0.0
-60.261844,754,130.976767,2,0.0
-61.087404,489,132.022163,1,0.0
-40.936666,1800,136.409144,2,16.0
-63.90968,760,137.984233,2,0.0
85.137548,1800,141.242722,2,58.0
-58.848348,531,142.360682,2,0.0
-52.75374,549,143.308014,1,0.0
-71.521637,682,144.777518,2,0.0
-56.986712,483,145.698609,2,0.0
-46.93107,610,147.123848,2,0.0
-64.128648,1164,149.698352,1,0.0
-89.582843,1657,153.125503,1,0.0
-59.906718,774,154.851255,2,0.0
-82.079506,1181,157.551814,1,0.0
-66.820211,1005,159.816919,2,0.0
-80.128301,1044,162.179608,2,0.0
-59.288791,325,162.824623,2,0.0
-77.591696,1179,165.45934,1,0.0
-47.790288,1102,167.87225,1,0.0
-40.036196,1800,171.971979,1,16.0
-63.908877,512,173.089554,2,0.0
7.138248,1800,176.306054,1,72.0
-68.065925,580,177.649058,2,0.0
-40.392872,1308,201.729444,1,0.0
-53.321916,412,202.574756,2,0.0
-61.598897,619,203.954383,2,0.0
-57.008576,739,205.477983,2,0.0
-74.616906,1094,207.797284,1,0.0
-62.263993,490,208.705775,1,0.0
-62.806833,514,209.790116,2,0.0
-34.96493,1284,212.215874,1,0.0
-71.322848,1122,214.608011,1,0.0
-60.307555,1194,217.311491,2,0.0
15.205874,1361,219.848594,2,0.0
-48.304903,853,221.496601,1,0.0
-71.463667,725,223.113051,2,0.0
-54.860305,435,224.046171,2,0.0
-73.059142,743,225.720857,2,0.0
-59.636483,1191,228.079742,1,0.0
-58.692927,438,228.950441,2,0.0
-60.232091,912,230.822371,1,0.0
-63.059053,833,232.478082,2,0.0
-72.876199,1009,234.760264,2,0.0
-60.27349,652,236.191606,1,0.0
-70.810613,1282,239.163883,2,0.0
-69.790604,695,240.752309,2,0.0
-65.707969,556,241.982352,2,0.0
-50.812111,1488,245.576326,2,0.0
-60.208858,462,246.556293,2,0.0
-77.058248,679,248.034821,2,0.0
-40.435606,1058,250.183599,1,0.0
-73.502022,769,251.679689,2,0.0
-67.999924,551,252.780335,2,0.0
-60.760705,657,264.154187,2,0.0
-66.70046,634,265.5033,2,0.0
-58.970088,369,266.193118,2,0.0
-58.143126,568,267.173076,1,0.0
-59.807109,708,268.550869,1,0.0
-47.213138,467,269.36987,1,0.0
-25.165726,1468,272.159012,1,0.0
-53.180988,1179,274.636162,1,0.0
-35.271913,1800,278.72085,1,16.0
-44.891845,607,280.027262,2,0.0
-56.387948,1066,282.235884,1,0.0
-58.911847,1108,284.545882,1,0.0
21.759956,1345,287.058884,2,0.0
-67.495731,688,288.580772,2,0.0
-64.020864,720,290.178773,2,0.0
31.176973,1800,293.433218,1,58.0
-56.741369,387,294.230866,2,0.0
-68.449889,1163,296.890148,2,0.0
-61.185346,1288,299.770933,1,0.0
-42.261145,1041,301.82342,1,0.0
-33.580553,567,302.918007,1,0.0
31.20178,1800,306.283754,1,16.0
-39.340846,806,308.129876,2,0.0
-28.618458,1122,310.448878,1,0.0
-66.242676,1347,313.402262,1,0.0
-62.420304,1086,334.065729,1,0.0
-50.510781,438,334.875486,2,0.0
22.867019,1800,338.320086,1,30.0
-38.412959,1310,340.920489,1,0.0
-65.978472,847,342.685297,1,0.0
-63.071652,565,343.786809,1,0.0
-65.10205,554,345.016172,2,0.0
-74.514399,1084,347.529497,1,0.0
-73.290097,660,348.915302,2,0.0
9.612611,1800,352.257876,1,2.0
-60.178107,737,353.82447,1,0.0
-75.421547,1414,356.886737,1,0.0
-43.267074,1065,359.185048,1,0.0
-41.298577,417,360.004229,1,0.0
-55.553948,805,361.679992,1,0.0
-59.62324,1032,363.71524,1,0.0
-53.566484,1032,365.966848,1,0.0
58.906418,1800,369.61171,2,44.0
-61.937645,524,370.744424,2,0.0
-75.745419,1669,374.669642,1,0.0
-61.071117,446,375.709642,2,0.0
-62.690367,497,376.629341,1,0.0
-53.464986,1016,379.045382,2,0.0
-59.005511,1195,382.184214,2,0.0
-66.484201,685,383.667564,2,0.0
-59.398827,1448,406.335117,1,0.0
-66.76547,788,408.054724,1,0.0
-68.972561,784,409.790355,1,0.0
-88.242319,1162,412.541498,2,0.0
-66.761603,1278,415.308686,1,0.0
-77.711241,1443,418.605252,1,0.0
-56.525172,298,419.219364,2,0.0
-45.202253,579,420.474291,2,0.0
-57.275557,1210,423.42029,2,0.0
-45.988426,337,424.05229,2,0.0
68.140176,1800,427.293185,2,44.0
-9.7611,1800,430.903182,1,58.0
67.328962,1800,434.282739,2,30.0
-85.685611,1364,437.58353,2,0.0
-69.244702,725,439.106116,2,0.0
-45.924052,816,440.998706,2,0.0
-57.035192,1260,443.802969,1,0.0
-26.718245,1800,447.865721,1,30.0
-40.183656,1144,450.081299,1,0.0
84.228634,1800,453.541753,2,86.0
-43.763372,650,455.053715,2,0.0
18.245915,1800,458.723431,1,16.0
-60.242888,778,480.876086,2,0.0
-31.567688,1048,482.995746,2,0.0
-72.286067,945,485.207847,2,0.0
-68.66374,561,486.244155,2,0.0
-40.408492,1284,488.960189,1,0.0
81.85556,1800,492.358391,2,58.0
-0.197156,1309,495.137769,2,0.0
-64.152891,749,496.889195,2,0.0
-49.673708,893,498.937429,2,0.0
-62.03867,582,500.129122,2,0.0
-77.617622,1039,502.287922,1,0.0
-47.74315,696,503.655735,2,0.0
11.613259,1800,507.147929,1,30.0
85.744287,1800,510.803788,2,30.0
-65.112875,756,512.444935,1,0.0
-87.415432,1463,516.163264,2,0.0
-62.141763,787,517.866561,1,0.0
-75.343522,813,519.64818,2,0.0
-32.997597,1800,524.251621,2,16.0
-72.612104,926,526.458302,2,0.0
-65.94748,965,528.473247,1,0.0
-92.047485,1548,532.609769,2,0.0
21.745194,1800,559.545443,1,72.0
-75.349837,1306,562.226069,1,0.0
-60.214598,1158,564.63069,1,0.0
-88.015742,1703,568.342191,1,0.0
-34.623116,1800,572.433898,1,16.0
15.790695,1487,575.342803,2,0.0
-46.382879,517,576.32151,2,0.0
-54.37098,1664,579.635117,1,0.0
-60.46001,1452,582.874885,1,0.0
18.529165,1800,586.536627,2,16.0
-40.474245,699,587.983306,2,0.0
-60.273484,1107,590.620726,2,0.0
-57.417799,1360,593.648784,2,0.0
-42.656375,1800,598.028548,2,16.0
-27.334404,1800,601.872753,1,16.0
-88.524757,1424,605.167825,1,0.0
-4.58904,1800,609.233078,1,58.0
-70.377372,807,611.009964,2,0.0
-53.174903,968,636.111678,1,0.0
-73.221049,1425,639.140749,1,0.0
-74.672695,1665,643.237627,2,0.0
-68.641522,757,644.878676,2,0.0
-71.482135,1056,647.076378,1,0.0
-21.634534,1050,649.148815,2,0.0
-50.926657,1201,651.729348,1,0.0
27.762774,1800,655.617418,1,86.0
-13.983003,1800,659.674228,1,30.0
-49.6037,883,661.590844,2,0.0
-41.589647,1800,665.852724,2,30.0
-64.849686,1293,668.513596,1,0.0
-68.646735,1009,670.853682,2,0.0
6.07427,1800,674.120218,1,2.0
-47.973958,1800,678.278872,2,16.0
10.014721,1800,682.045084,1,72.0
-32.878655,1800,686.069246,1,72.0
-51.863407,1185,688.534588,2,0.0
