#{"t_start": 1788076282.6257443, "env_id": "None"}
r,l,t,phase,player_health
15.948921,1800,4.625749,1,58.0
26.187051,1800,7.634734,2,16.0
72.048345,1800,10.015212,2,44.0
29.379272,1800,12.047887,1,58.0
31.70383,1632,14.011944,2,0.0
-25.533977,1507,16.199546,1,0.0
-5.775446,1239,19.403549,2,0.0
-2.601457,1305,22.863422,2,0.0
0.810208,1437,26.875237,2,0.0
-32.152703,1058,68.168154,2,0.0
-33.072748,684,70.605572,2,0.0
114.116169,1800,76.140042,2,16.0
92.756616,1800,81.39344,2,44.0
44.747951,1143,83.997707,2,0.0
-16.908324,733,86.178741,2,0.0
45.973834,1308,89.573486,2,0.0
181.24026,1800,94.028684,3,16.0
91.300056,1800,99.053073,2,16.0
-15.605214,1157,102.476501,2,0.0
-35.053134,492,103.911635,2,0.0
-31.699041,1090,107.183315,2,0.0
-15.960232,1205,145.937577,2,0.0
75.137338,1454,150.154327,2,0.0
-28.783951,671,152.131732,2,0.0
-33.424514,1218,155.955877,2,0.0
-28.106818,1761,162.040322,2,0.0
-49.138188,828,164.471619,2,0.0
-51.159123,771,166.492298,2,0.0
-9.218603,1489,170.987694,2,0.0
56.183294,1748,175.802833,2,0.0
-55.349443,363,176.73077,2,0.0
95.397428,1800,182.24662,2,2.0
50.048319,1068,185.207687,3,0.0
-37.547306,1176,188.358889,1,0.0
37.343693,1800,230.151974,1,44.0
53.893067,1521,234.240749,3,0.0
38.114077,1095,236.76784,2,0.0
38.182682,1800,242.377537,2,30.0
-54.990712,737,244.453867,2,0.0
35.015745,1524,248.30913,2,0.0
24.342782,786,250.116516,2,0.0
-50.047887,333,251.003067,2,0.0
-50.553085,611,252.841044,2,0.0
11.274334,1800,258.269399,2,16.0
15.636736,1800,264.161055,2,16.0
33.376525,1800,309.279008,2,2.0
97.842828,1800,315.361405,3,30.0
-46.560114,835,317.941262,2,0.0
-53.70992,578,319.781936,2,0.0
30.82894,1520,324.110492,2,0.0
-33.925507,539,325.482702,2,0.0
12.47943,1800,330.99903,2,16.0
-31.025114,1110,334.342308,2,0.0
120.605757,1800,339.568965,2,16.0
-15.557932,809,341.970064,2,0.0
66.199177,1108,344.571455,2,0.0
49.601804,1043,347.25174,2,0.0
-35.866004,1320,351.004058,2,0.0
112.877427,1800,391.392068,2,2.0
-30.630719,883,393.520148,1,0.0
37.226226,1726,398.688677,2,0.0
127.868253,1800,403.912346,2,16.0
-50.238788,1703,408.883976,1,0.0
-58.083087,1389,413.264048,2,0.0
21.227001,1017,415.753152,2,0.0
111.946227,1800,421.133228,2,2.0
83.506493,1800,426.52661,2,2.0
119.57443,1800,467.818061,2,2.0
-21.871953,546,469.468382,2,0.0
27.918186,1800,473.6856,1,30.0
-30.555639,1052,476.285644,1,0.0
-34.502443,1719,481.262726,2,0.0
-25.433124,1313,485.237979,2,0.0
-33.540454,1456,490.303538,2,0.0
-34.433166,697,492.429306,2,0.0
-50.20331,817,494.964267,2,0.0
-60.83741,920,497.715326,2,0.0
-57.394086,1381,501.903952,2,0.0
-34.977965,904,504.686622,2,0.0
27.319605,1160,507.619712,2,0.0
-37.357162,896,510.491009,2,0.0
20.100118,1800,547.20345,1,16.0
-44.594546,682,549.213286,2,0.0
-29.619825,559,550.693472,2,0.0
-38.235019,1328,554.613149,1,0.0
18.289297,1800,559.005295,1,30.0
32.826008,1786,563.679025,2,0.0
69.272345,1688,568.353432,2,0.0
-52.331795,747,570.509137,2,0.0
25.615317,1511,574.75522,2,0.0
9.863934,1800,579.971913,2,2.0
-12.896349,1115,583.096199,2,0.0
20.185227,1800,622.76016,1,2.0
-54.627821,666,624.788873,2,0.0
73.777481,1800,630.875489,3,2.0
182.706316,1800,635.568997,3,58.0
97.575562,1800,640.924303,2,16.0
-23.200705,1473,644.950377,2,0.0
45.499584,982,647.340052,2,0.0
-52.300008,454,648.658608,2,0.0
-27.2687,1194,652.349558,2,0.0
-31.401979,985,655.380991,2,0.0
37.92427,1665,660.550462,3,0.0
49.838425,977,700.922561,2,0.0
93.352968,1800,706.501385,3,30.0
38.585753,1800,711.869153,2,44.0
-46.878117,882,714.366778,2,0.0
-33.900545,1514,718.679264,2,0.0
-53.070473,796,720.776478,2,0.0
-29.332227,991,723.349243,2,0.0
-12.62965,595,724.787266,2,0.0
22.504757,1800,729.382533,1,16.0
23.699649,1800,734.619586,2,16.0
15.976221,1800,738.961013,1,86.0
