#{"t_start": 1788072591.080621, "env_id": "None"}
r,l,t,phase,player_health
-42.820198,1800,4.464358,1,30.0
-63.594553,758,5.729829,2,0.0
-66.828843,741,6.977245,2,0.0
18.930178,1800,10.106502,2,30.0
-108.808986,1475,12.404017,1,0.0
-36.46299,1800,15.218509,1,30.0
-71.453007,595,16.125346,2,0.0
-42.767605,1800,19.799826,1,30.0
-80.647564,1500,24.825155,2,0.0
-47.096842,1800,30.369042,2,16.0
-35.612283,1800,35.971236,2,44.0
-63.728837,890,38.529322,2,0.0
-83.220833,707,40.552021,2,0.0
67.165629,1800,45.185515,2,44.0
-40.687223,1800,50.424315,1,72.0
-73.644739,1234,53.971601,1,0.0
-38.552463,1800,59.425372,1,30.0
-74.175934,922,109.431869,1,0.0
-49.85869,1800,115.18512,1,16.0
-46.875772,409,116.305189,2,0.0
-36.461213,1800,122.182066,1,16.0
-78.975444,954,124.971,2,0.0
-68.278184,1484,129.018113,2,0.0
-26.383344,1800,134.563348,1,86.0
-68.096781,1644,140.12151,2,0.0
-13.653373,1800,145.452108,1,44.0
-63.446431,1011,148.79547,2,0.0
-65.05971,1277,152.632319,1,0.0
-42.477768,1800,158.631481,1,58.0
-53.88463,1022,162.269064,2,0.0
-62.651825,954,164.919189,1,0.0
-86.108431,1610,169.455206,2,0.0
41.548183,1800,174.71568,2,30.0
-31.40813,1800,179.995041,1,58.0
-94.514578,1659,184.958305,2,0.0
-19.302154,1800,223.204685,2,30.0
-24.805527,1800,227.891741,1,58.0
-70.855373,1017,230.155419,1,0.0
-6.791587,1800,234.403975,1,58.0
-18.352109,1800,239.659207,1,16.0
-46.804442,1800,245.728602,2,30.0
-71.424637,1314,249.363776,1,0.0
-57.596715,1156,252.60833,2,0.0
-57.446611,1331,256.549766,1,0.0
-70.432874,1476,260.832662,1,0.0
39.36943,1800,265.469722,2,16.0
11.143356,1800,269.812451,1,72.0
2.473875,1800,274.760183,1,86.0
-69.743407,1601,279.168179,1,0.0
-58.321897,1688,283.684803,1,0.0
66.046674,1800,322.735797,2,30.0
-80.533755,1767,328.026204,1,0.0
-1.10286,1800,333.108284,1,58.0
-38.425357,1088,335.89252,1,0.0
0.747371,1800,342.050115,2,30.0
-85.183441,1542,346.480373,1,0.0
-11.707159,1800,352.452762,2,2.0
-84.945415,1476,356.881273,1,0.0
-73.697533,1648,361.554876,2,0.0
-6.677074,1800,366.929976,2,16.0
-41.239533,644,368.502774,2,0.0
-62.491502,556,369.918803,2,0.0
-73.457551,1399,374.230622,2,0.0
-66.84196,805,376.411769,2,0.0
-47.856681,693,377.914394,1,0.0
55.241593,1800,383.352087,2,16.0
-44.651624,1381,386.939634,1,0.0
17.335432,1279,389.890404,2,0.0
-5.506147,1800,437.305648,1,30.0
-63.928177,573,439.245331,2,0.0
-59.803972,723,441.575969,2,0.0
-57.151877,1101,444.942514,1,0.0
6.758745,1800,450.562725,2,16.0
0.43669,1800,455.829826,1,44.0
-57.693594,930,458.407346,2,0.0
-49.035523,1324,461.687106,1,0.0
-0.084134,1445,465.682632,2,0.0
9.91018,1265,469.179595,2,0.0
2.545983,1800,473.950717,1,44.0
-4.973529,1800,478.917937,1,16.0
-54.787906,1161,482.471807,2,0.0
-73.330843,1051,485.659879,2,0.0
49.69842,1800,490.33087,2,16.0
