#{"t_start": 1788030516.6443782, "env_id": "None"}
r,l,t,phase,player_health
-137.285146,1647,3.245013,2,0.0
-115.472792,623,3.890722,2,0.0
-70.303871,836,4.72907,2,0.0
-92.753603,1337,6.021738,1,0.0
-76.494826,738,6.793417,2,0.0
-51.185861,1800,8.984007,1,58.0
-52.594121,1800,11.033702,1,16.0
-75.10993,1328,12.627448,1,0.0
-63.765381,679,14.023668,2,0.0
-76.663482,1023,16.28901,2,0.0
-9.055946,1800,20.324759,1,16.0
-91.926845,1337,23.748655,1,0.0
-62.143703,801,42.091285,2,0.0
-93.109972,1193,45.225281,2,0.0
-79.917402,560,46.558916,2,0.0
-74.80769,1057,49.326557,2,0.0
-65.00446,935,51.399959,1,0.0
-89.017808,1009,53.609325,1,0.0
-70.098952,1707,57.824336,1,0.0
-82.037378,605,59.416283,2,0.0
-70.396131,678,61.124787,1,0.0
-97.751189,1698,65.370602,2,0.0
-91.024137,1462,68.919271,1,0.0
-69.517003,1758,73.569033,1,0.0
-35.550409,1800,97.888952,2,58.0
-56.952547,1800,102.571527,2,2.0
-80.147277,838,104.501137,2,0.0
-43.109883,1800,108.897084,1,16.0
-30.080416,1466,112.259287,1,0.0
-65.287986,1800,116.832616,1,0.0
-73.852482,812,118.901685,1,0.0
-67.412304,1154,121.529113,1,0.0
-87.684111,1142,124.229961,1,0.0
-126.688062,1379,127.963888,2,0.0
-36.206092,1800,132.058273,1,30.0
-80.62091,1040,156.02381,1,0.0
-52.116876,876,157.9084,1,0.0
-78.725834,1393,160.931728,1,0.0
-19.708257,1187,163.459889,2,0.0
-91.116027,1243,166.538291,2,0.0
-77.496745,762,168.503884,2,0.0
-66.414958,1282,171.333776,1,0.0
-74.243072,1687,175.21778,1,0.0
-87.896453,1483,179.157571,2,0.0
-72.898234,1031,182.057887,2,0.0
-71.284461,1222,185.532116,2,0.0
-75.62066,1527,189.89984,1,0.0
-79.827115,668,191.635792,2,0.0
-69.748024,1553,215.511151,1,0.0
-70.031525,898,217.469887,1,0.0
-21.080105,1800,221.515964,1,44.0
-70.892748,1205,224.621186,2,0.0
-70.984292,1462,228.169792,1,0.0
-69.117848,768,229.628513,1,0.0
-92.633406,1017,232.01584,2,0.0
-80.266075,1105,234.677083,1,0.0
0.428703,1800,238.964603,1,30.0
-62.236052,1783,243.063035,1,0.0
-66.242458,1019,245.657146,2,0.0
-48.033666,871,247.245138,1,0.0
-66.512597,649,273.306297,2,0.0
-87.047455,1057,275.693889,1,0.0
-93.18302,803,277.786959,2,0.0
-56.76608,1800,282.589341,2,2.0
-85.233971,1566,286.771294,2,0.0
-88.466529,989,289.284797,2,0.0
-82.123096,883,291.42836,2,0.0
26.864681,1800,295.641886,1,58.0
-92.372406,1194,298.646448,2,0.0
-79.893295,1476,302.06986,1,0.0
-80.113543,1061,304.522589,1,0.0
-72.883289,1537,308.101999,1,0.0
-95.029492,1157,329.871341,1,0.0
-88.850286,916,332.058509,2,0.0
-79.838494,817,334.258852,2,0.0
-90.917214,865,336.460505,2,0.0
-29.952791,1800,340.50543,1,2.0
-30.799879,1800,344.898611,1,44.0
70.503426,1800,348.690871,2,72.0
-55.32985,1696,352.443734,1,0.0
-3.413189,1800,356.874795,1,30.0
-88.697627,841,359.064369,2,0.0
-82.520816,1608,362.798387,1,0.0
-85.618257,1221,383.258918,2,0.0
-92.814669,1605,387.542456,2,0.0
-81.873771,1182,390.667344,2,0.0
31.988479,1800,394.142806,1,44.0
-0.14603,1800,398.666453,1,2.0
28.540856,1800,403.027917,1,30.0
-100.026879,1642,407.155243,1,0.0
-94.18807,890,409.576307,2,0.0
-64.345239,1070,412.2456,2,0.0
29.176101,1800,416.494454,2,16.0
-50.123229,1800,443.5301,2,2.0
-67.983416,1441,446.693271,1,0.0
-83.140574,1141,449.503261,2,0.0
-87.273994,1146,452.556877,2,0.0
-61.83761,1189,455.484043,1,0.0
-62.992952,947,458.079765,1,0.0
-81.075524,888,460.711661,2,0.0
-32.791952,1800,465.014855,1,2.0
-53.548353,1800,469.291498,1,16.0
28.950183,1800,473.368608,1,16.0
-65.238742,954,475.559771,2,0.0
45.541661,1800,501.930273,1,30.0
-67.076055,1563,505.278032,1,0.0
-60.541409,1137,507.405249,1,0.0
-11.499782,1800,511.209635,1,86.0
-41.400976,1695,514.481823,1,0.0
17.382031,1800,518.321791,2,16.0
-94.515521,1519,521.932674,1,0.0
-66.980477,1131,524.714267,2,0.0
-51.117243,977,526.772883,1,0.0
-78.401028,881,528.732439,2,0.0
-92.793932,813,530.656224,2,0.0
