variant,seed,status,victory,steps,environment_reward,hazard_adjacent_steps,minimum_fire_distance,path,actions
qlearning,101,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,202,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,303,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,404,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,505,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,606,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,707,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,808,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,909,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
qlearning,1010,victory,1,5,1.0,4,1,"[[8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]"
sarsa,101,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,202,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,303,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,404,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,505,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,606,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,707,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,808,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,909,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
sarsa,1010,victory,1,7,1.0,0,2,"[[8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7]]","[""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN""]"
