episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
1,6111,1.0,0.0,0.0,0.0,0.0,80,death,0,1,monster,0,30,29,0:0|0:1|0:2|1:0|2:0|3:0|3:1|3:2|4:2|4:3|4:4|4:5|4:6|4:7|4:8|5:6|5:8|6:6|6:7|6:8|7:5|7:6|8:4|8:5|9:1|9:2|9:3|9:4|9:5,29
2,6112,0.9999343289552637,0.0,0.0,0.0,0.0,104,death,0,1,monster,0,24,21,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|3:4|3:5|4:2|4:3|4:4|4:5|4:6|5:6|6:6|6:7|7:6,36
3,6113,0.9998686579105274,1.0,1.0,0.0,1.0,350,truncated,0,0,,1,48,45,0:0|0:1|0:2|0:4|0:5|0:6|1:0|1:2|1:4|1:6|2:0|2:2|2:3|2:4|2:6|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:3|8:0|8:1|8:2|8:3|8:4|9:0|9:1|9:2|9:3,68
4,6114,0.999802986865791,1.0,1.0,0.0,1.0,59,death,0,1,monster,0,20,15,0:0|1:0|2:0|2:2|3:0|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2|7:0,76
5,6115,0.9997373158210547,0.0,0.0,0.0,0.0,150,death,0,1,monster,0,20,20,0:0|0:1|0:2|1:0|1:2|1:4|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:6|4:2|4:4|4:5|4:6|5:2,77
6,6116,0.9996716447763184,0.0,0.0,0.0,0.0,43,death,0,1,monster,0,14,9,0:0|0:1|1:0|2:0|2:2|2:3|3:0|3:1|3:2,82
7,6117,0.9996059737315821,3.0,3.0,0.0,3.0,254,victory,1,0,,0,60,47,0:0|0:1|0:7|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:6|2:8|2:9|3:0|3:1|3:2|3:4|3:5|3:6|3:8|3:9|4:2|4:4|4:5|4:6|4:7|4:8|4:9|5:0|5:1|5:2|5:4|5:6|5:8|5:9|6:0|6:1|6:2|6:3|6:4|6:6|6:7|6:8|6:9|7:6|7:8|8:8,123
8,6118,0.9995403026868458,0.0,0.0,0.0,0.0,47,death,0,1,monster,0,13,8,0:0|0:1|0:2|1:0|1:2|2:2|3:1|3:2,126
9,6119,0.9994746316421095,0.0,0.0,0.0,0.0,87,death,0,1,monster,0,21,13,0:0|0:1|0:2|0:4|0:5|0:6|1:0|1:2|1:4|2:2|2:3|2:4|3:4,132
10,6120,0.9994089605973732,1.0,1.0,0.0,1.0,114,death,0,1,monster,0,41,22,0:0|0:1|0:2|1:0|1:2|2:2|2:3|2:4|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|6:0|6:1|6:2|6:3|6:4,150
11,6121,0.9993432895526368,1.0,1.0,0.0,1.0,72,death,0,1,monster,0,27,20,0:0|0:1|0:2|1:2|2:2|3:2|4:2|4:3|4:4|5:1|5:2|6:0|6:1|7:0|8:0|8:1|8:2|9:0|9:1|9:2,154
12,6122,0.9992776185079005,1.0,1.0,0.0,1.0,350,truncated,0,0,,1,62,35,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:6|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:6|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|4:7|5:4|5:6,193
13,6123,0.9992119474631642,1.0,1.0,0.0,1.0,265,death,0,1,monster,0,53,32,0:0|0:1|0:2|1:2|1:4|2:2|2:3|2:4|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:3|8:0|8:1|8:3|9:0|9:1|9:2|9:3|9:4,209
14,6124,0.9991462764184279,0.0,0.0,0.0,0.0,25,death,0,1,monster,0,9,9,0:0|0:1|0:2|1:2|2:2|2:3|2:4|3:1|3:2,210
15,6125,0.9990806053736916,1.0,1.0,0.0,1.0,192,death,0,1,monster,0,39,31,0:0|0:1|0:2|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:6|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:6|2:9|3:4|3:5|3:6|3:8|3:9|4:4|4:5|4:6|4:7|4:8|4:9,217
16,6126,0.9990149343289553,0.0,0.0,0.0,0.0,105,death,0,1,monster,0,27,23,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|5:2|5:4|6:4,222
17,6127,0.998949263284219,0.0,0.0,0.0,0.0,72,death,0,1,monster,0,9,8,0:0|0:1|1:0|2:0|3:0|3:1|3:2|4:2,222
18,6128,0.9988835922394826,1.0,1.0,0.0,1.0,244,death,0,1,monster,0,46,44,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|4:2|4:4|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|6:6|6:7|6:8|7:0|7:3|7:5|7:6|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5|9:6,229
19,6129,0.9988179211947463,2.0,2.0,0.0,2.0,350,truncated,0,0,,1,84,55,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:6|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:6|2:8|2:9|3:0|3:1|3:2|3:4|3:5|3:6|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:3|8:0|8:1|8:2|8:3|9:0|9:2|9:3,266
20,6130,0.99875225015001,0.0,0.0,0.0,0.0,135,death,0,1,monster,0,19,19,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|3:8|4:2|4:3|4:4|4:5|4:6|4:7|4:8,268
21,6131,0.9986865791052737,0.0,0.0,0.0,0.0,97,death,0,1,monster,0,11,11,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:2|4:2,268
22,6132,0.9986209080605374,1.0,1.0,0.0,1.0,350,truncated,0,0,,1,65,39,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:3|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,285
23,6133,0.9985552370158011,1.0,1.0,0.0,1.0,42,death,0,1,monster,0,23,16,0:0|0:1|0:2|1:2|2:2|3:1|3:2|4:2|4:3|4:4|5:2|5:4|6:0|6:1|6:2|7:0,288
24,6134,0.9984895659710648,2.0,2.0,0.0,2.0,350,truncated,0,0,,1,65,49,0:0|0:1|0:2|0:4|0:5|1:2|1:4|2:2|2:3|2:4|3:4|3:5|3:6|4:2|4:4|4:5|4:6|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|6:9|7:0|7:3|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,303
25,6135,0.9984238949263284,1.0,1.0,0.0,1.0,350,truncated,0,0,,1,62,45,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|5:1|5:2|5:4|5:6|6:1|6:2|6:3|6:4|6:6|7:3|7:5|7:6|8:2|8:3|8:4|8:5|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8|9:9,317
26,6136,0.9983582238815921,2.0,2.0,0.0,2.0,330,death,0,1,monster,0,89,60,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:6|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:6|2:8|2:9|3:0|3:1|3:2|3:4|3:5|3:6|3:8|3:9|4:2|4:3|4:4|4:5|4:9|5:4|5:9|6:3|6:4|6:6|6:8|6:9|7:3|7:5|7:6|7:8|7:9|8:3|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:6|9:7|9:8|9:9,369
27,6137,0.9982925528368558,1.0,1.0,0.0,1.0,350,truncated,0,0,,1,62,48,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:6|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:6|6:0|6:1|6:2|6:3|6:6|6:7|7:0|7:3|7:5|7:6|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5|9:6,377
28,6138,0.9982268817921195,0.0,0.0,0.0,0.0,63,death,0,1,monster,0,16,15,0:0|0:1|0:2|1:0|1:2|1:4|2:2|2:3|2:4|3:0|3:1|3:2|4:2|4:3|5:2,377
29,6139,0.9981612107473832,1.0,1.0,0.0,1.0,216,death,0,1,monster,0,31,24,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:9|3:0|3:1|3:2|3:4,384
30,6140,0.9980955397026469,0.0,0.0,0.0,0.0,158,death,0,1,monster,0,23,19,0:0|0:1|0:2|1:0|1:2|1:4|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:5|4:2|4:3|4:4|5:4,387
31,6141,0.9980298686579105,1.0,1.0,0.0,1.0,174,death,0,1,monster,0,49,35,0:0|0:1|0:2|0:4|0:5|0:6|1:2|1:4|1:6|1:7|2:2|2:3|2:4|2:6|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:6|6:1|6:2|6:3|6:4|6:6|7:3|7:6,398
32,6142,0.9979641976131742,1.0,1.0,0.0,1.0,109,death,0,1,monster,0,32,26,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:6|6:0|6:1|6:2,400
33,6143,0.9978985265684379,0.0,0.0,0.0,0.0,239,death,0,1,monster,0,29,25,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:8|2:9|3:0|3:1|3:2|3:5|3:6|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:8|5:8,406
34,6144,0.9978328555237016,1.0,1.0,0.0,1.0,214,death,0,1,monster,0,42,36,0:0|0:1|0:2|1:0|1:2|2:2|2:6|3:1|3:2|3:5|3:6|4:2|4:4|4:5|4:6|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:3|8:0|8:1|8:2|8:3|9:0|9:1|9:2|9:3|9:4|9:5,411
35,6145,0.9977671844789653,0.0,0.0,0.0,0.0,111,death,0,1,monster,0,18,13,0:0|0:1|0:2|1:0|1:2|2:0|3:0|3:1|3:2|4:2|4:3|4:4|5:4,414
36,6146,0.997701513434229,2.0,2.0,0.0,2.0,350,death,0,1,monster,0,39,35,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|4:3|5:1|5:2|6:0|6:1|7:0|7:8|8:0|8:2|8:3|8:5|8:7|8:8|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8,417
37,6147,0.9976358423894927,0.0,0.0,0.0,0.0,32,death,0,1,monster,0,12,9,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|4:4,420
38,6148,0.9975701713447563,1.0,1.0,0.0,1.0,350,truncated,0,0,,1,42,29,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|5:1|5:2|5:4|5:6|6:1|6:2|6:3|6:4|6:6,420
39,6149,0.99750450030002,0.0,0.0,0.0,0.0,89,death,0,1,monster,0,27,22,0:0|0:1|0:2|1:0|1:2|1:4|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|4:2|4:4|5:2|5:4|6:2|6:3|6:4|7:3,427
40,6150,0.9974388292552837,0.0,0.0,0.0,0.0,76,death,0,1,monster,0,12,9,0:0|0:1|1:0|2:0|2:2|3:0|3:1|3:2|4:2,427
41,6151,0.9973731582105474,1.0,1.0,0.0,1.0,219,death,0,1,monster,0,33,19,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|5:1|5:2|6:1|6:2|6:3|7:3,428
42,6152,0.9973074871658111,0.0,0.0,0.0,0.0,95,death,0,1,monster,0,18,14,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|5:2,431
43,6153,0.9972418161210748,2.0,2.0,0.0,2.0,350,truncated,0,0,,1,81,46,0:0|0:1|0:2|0:4|0:5|0:6|0:7|1:0|1:2|1:4|1:6|1:7|2:0|2:2|2:3|2:4|2:6|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|7:0|7:3|8:0|8:2|8:3|8:4|9:0|9:1|9:2|9:3|9:4,463
44,6154,0.9971761450763384,2.0,2.0,0.0,2.0,350,truncated,0,0,,1,84,56,0:0|0:1|0:2|0:4|1:0|1:2|1:4|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:5|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|5:8|5:9|6:0|6:1|6:2|6:3|6:4|6:8|6:9|7:0|7:3|7:5|7:8|7:9|8:0|8:1|8:2|8:3|8:4|8:5|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:6|9:7|9:8,479
45,6155,0.9971104740316021,0.0,0.0,0.0,0.0,130,death,0,1,monster,0,19,17,0:0|0:1|0:2|1:0|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:4|3:5|3:6|4:4|4:5|4:6,480
46,6156,0.9970448029868658,0.0,0.0,0.0,0.0,28,death,0,1,monster,0,9,7,0:0|1:0|2:0|3:0|3:1|3:2|4:2,481
47,6157,0.9969791319421295,0.0,0.0,0.0,0.0,36,death,0,1,monster,0,15,6,0:0|0:1|0:2|1:0|1:2|2:0,486
48,6158,0.9969134608973932,1.0,1.0,0.0,1.0,236,death,0,1,monster,0,46,36,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:6|2:2|2:3|2:4|2:6|3:0|3:1|3:2|3:4|3:5|3:6|4:2|4:3|4:4|4:5|4:6|4:7|4:8|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:3|6:4|7:3,488
49,6159,0.9968477898526569,1.0,1.0,0.0,1.0,43,death,0,1,monster,0,20,17,0:0|1:0|2:0|3:0|3:1|3:2|3:4|4:2|4:3|4:4|5:1|5:2|5:4|6:1|6:2|6:3|6:4,490
50,6160,0.9967821188079206,0.0,0.0,0.0,0.0,197,death,0,1,monster,0,19,12,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|4:2|4:3,494
51,6161,0.9967164477631842,1.0,1.0,0.0,1.0,131,death,0,1,monster,0,26,22,0:0|0:1|0:2|1:0|1:2|1:4|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|5:1|5:2|5:4|6:1|6:2|6:3|6:4|7:3,500
