comparison,variant,run_seed,episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
intrinsic,baseline,111,1,111,1.0,1.0,1.0,0.0,1.0,300,truncated,0,0,,1,65,58,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:2|1:4|1:5|1:7|1:8|1:9|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:1|3:2|3:5|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:9|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:7|7:8|8:4|8:5|8:8|9:5,65
intrinsic,baseline,111,2,112,0.999009009009009,1.0,1.0,0.0,1.0,300,truncated,0,0,,1,41,27,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|5:0|5:1|5:2|6:1|6:2|7:2|7:3,77
intrinsic,baseline,111,3,113,0.998018018018018,1.0,1.0,0.0,1.0,300,truncated,0,0,,1,56,42,0:0|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|2:0|2:2|2:3|2:4|2:5|2:7|3:0|3:1|3:2|3:5|3:7|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:5|5:6|5:7|6:0|6:1|6:2|7:0|7:2|7:3,105
intrinsic,baseline,111,4,114,0.9970270270270271,0.0,0.0,0.0,0.0,300,truncated,0,0,,1,47,47,0:0|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:7|2:8|2:9|3:0|3:1|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:1|5:2|5:4|5:5|5:6|5:7|6:2|6:4|6:7|7:2|7:3|7:4|7:5|7:6|8:4|8:5|9:3|9:4|9:5,122
intrinsic,baseline,111,5,115,0.9960360360360361,1.0,1.0,0.0,1.0,300,truncated,0,0,,1,60,48,0:0|0:1|0:2|0:4|0:5|0:6|1:2|1:4|1:5|1:7|2:2|2:3|2:4|2:5|2:7|3:1|3:2|3:5|3:7|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:0|6:1|6:2|6:4|6:7|6:8|7:0|7:2|7:3|7:4|7:5|7:6|7:7|8:0,126
intrinsic,baseline,111,6,116,0.9950450450450451,0.0,0.0,0.0,0.0,300,truncated,0,0,,1,26,26,0:0|0:1|0:2|0:5|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|5:1|5:2|5:5|5:6,126
intrinsic,baseline,111,7,117,0.994054054054054,1.0,1.0,0.0,1.0,300,truncated,0,0,,1,53,32,0:0|0:1|0:2|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|3:7|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|6:0|7:0,127
intrinsic,baseline,111,8,118,0.993063063063063,2.0,2.0,0.0,2.0,300,truncated,0,0,,1,49,40,0:0|0:1|0:2|1:0|1:2|2:0|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|5:4|5:5|6:0|6:1|6:2|6:4|6:7|7:0|7:5|7:6|7:7|8:0|8:4|8:5|8:7|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:7|9:8|9:9,140
intrinsic,baseline,111,9,119,0.992072072072072,1.0,1.0,0.0,1.0,300,truncated,0,0,,1,45,42,0:0|0:1|0:2|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|5:5|5:6|6:0|6:1|6:4|7:0|7:4|7:5|7:6|8:0|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,140
intrinsic,baseline,111,10,120,0.9910810810810811,0.0,0.0,0.0,0.0,300,truncated,0,0,,1,22,22,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|4:2|5:2|6:1|6:2|7:2,140
