episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
1,1729,1.0,1.0,1.0,0.016332298506431617,1.016332298506429,300,truncated,0,0,,1,50,36,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|5:5|5:6|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|8:0|8:4|9:0|9:1,50
2,1730,0.999009009009009,0.0,0.0,0.011966924656885161,0.011966924656885161,300,truncated,0,0,,1,31,31,0:0|0:1|0:6|0:7|1:0|1:7|1:8|2:0|2:7|2:8|2:9|3:0|3:1|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:6|4:7|4:9|5:4|5:5|5:6|5:7|5:8|5:9|6:7|6:8,71
3,1731,0.998018018018018,1.0,1.0,0.01641005423379743,1.016410054233796,300,truncated,0,0,,1,45,30,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:4|5:5|5:6|6:0|6:1|6:2|7:0|7:2|8:0,81
4,1732,0.9970270270270271,2.0,2.0,0.016117282517844188,2.0161172825178437,300,truncated,0,0,,1,57,49,0:0|0:1|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:9|5:4|5:5|5:6|5:7|5:8|5:9|6:8|6:9|7:4|7:5|7:6|7:7|7:8|7:9|8:7|8:8|8:9|9:7|9:8|9:9,116
5,1733,0.9960360360360361,1.0,1.0,0.014699535559092832,1.0146995355590918,300,truncated,0,0,,1,39,23,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|5:0|5:1|5:2|6:0|6:1|6:2|7:2|7:3,117
6,1734,0.9950450450450451,2.0,2.0,0.017155013327810154,2.0171550133278084,300,truncated,0,0,,1,56,46,0:0|1:0|2:0|2:2|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:7|9:8|9:9,129
7,1735,0.994054054054054,2.0,2.0,0.01901568062790043,2.0190156806278954,300,truncated,0,0,,1,71,54,0:0|0:1|0:7|0:8|0:9|1:0|1:7|1:8|1:9|2:0|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:4|5:5|5:6|5:7|5:8|5:9|6:4|6:7|6:8|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:2|9:3|9:4|9:5|9:7|9:8|9:9,154
8,1736,0.993063063063063,0.0,0.0,0.013725797691147928,0.013725797691147928,300,truncated,0,0,,1,30,30,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|3:7|4:2|4:3|4:4|4:5|4:6|4:7|5:4|5:5|5:6|5:7|5:8,158
9,1737,0.992072072072072,0.0,0.0,0.01481122874132666,0.01481122874132666,300,truncated,0,0,,1,38,38,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|5:4,161
10,1738,0.9910810810810811,0.0,0.0,0.015418323120769538,0.015418323120769538,300,truncated,0,0,,1,37,37,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:5|4:6|4:7|5:5|5:6|5:7,161
11,1739,0.9900900900900901,1.0,1.0,0.01439851311855091,1.0143985131185507,300,truncated,0,0,,1,38,34,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|7:3|7:4|7:5|7:6|8:0|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,165
12,1740,0.9890990990990991,0.0,0.0,0.014678396478388337,0.014678396478388337,300,truncated,0,0,,1,37,37,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:2|4:4|4:5|4:6|5:4|5:5,165
13,1741,0.9881081081081081,2.0,2.0,0.0171472491978896,2.0171472491978912,300,truncated,0,0,,1,67,53,0:0|0:2|1:0|1:2|1:7|2:0|2:2|2:3|2:7|2:8|3:0|3:1|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:9,170
14,1742,0.9871171171171171,0.0,0.0,0.01570763630020665,0.01570763630020665,300,truncated,0,0,,1,45,45,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:7|4:9|5:4|5:5|5:6|5:7|5:8|5:9|6:7|6:8|6:9,170
15,1743,0.9861261261261262,1.0,1.0,0.016382788653285508,1.0163827886532826,300,truncated,0,0,,1,51,41,0:0|0:1|0:2|0:4|0:5|0:6|0:7|1:0|1:2|1:4|1:5|1:7|2:0|2:2|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|6:0|6:1|6:2|7:0|8:0|9:0|9:1|9:2,178
16,1744,0.9851351351351352,1.0,1.0,0.013900603301355676,1.0139006033013538,300,truncated,0,0,,1,31,26,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|8:0|9:0|9:1|9:2|9:3,179
17,1745,0.9841441441441442,1.0,1.0,0.015664009377341675,1.0156640093773395,300,truncated,0,0,,1,46,36,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|8:4|8:5|8:7|8:8|8:9|9:7,188
18,1746,0.9831531531531531,1.0,1.0,0.015017176284339451,1.0150171762843363,300,truncated,0,0,,1,39,24,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|7:3|8:0|9:0,188
19,1747,0.9821621621621621,0.0,0.0,0.016195574114940832,0.016195574114940832,300,truncated,0,0,,1,46,46,0:0|0:1|0:2|1:2|1:4|1:5|1:8|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:2|3:5|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:4|5:5|5:6|5:7|5:8|5:9|6:4|6:7|6:8|6:9|7:4|7:5|7:6|7:7|8:4|8:5|9:2|9:3|9:4|9:5,188
20,1748,0.9811711711711711,1.0,1.0,0.016792457665830963,1.0167924576658294,300,truncated,0,0,,1,54,49,0:0|0:1|0:2|0:6|0:7|0:8|0:9|1:2|1:7|1:8|1:9|2:2|2:3|2:7|2:8|2:9|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:2|5:5|5:6|5:9|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:8|8:9,199
21,1749,0.9801801801801802,1.0,1.0,0.014225679575513862,1.0142256795755116,300,truncated,0,0,,1,33,30,0:0|0:1|0:2|1:0|1:2|2:2|2:3|3:1|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|7:3|7:4|7:5|8:0|8:4|8:5|9:0|9:1|9:2|9:3|9:4|9:5,201
22,1750,0.9791891891891892,2.0,2.0,0.01862400935795192,2.0186240093579517,300,truncated,0,0,,1,74,61,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:2|3:5|3:7|3:8|3:9|4:2|4:3|4:5|4:6|4:7|4:9|5:4|5:5|5:7|5:8|5:9|6:4|6:7|6:8|6:9|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:7|9:8|9:9,209
23,1751,0.9781981981981982,1.0,1.0,0.017240367139975496,1.0172403671399735,300,truncated,0,0,,1,56,40,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:5|2:2|2:3|2:4|2:5|3:2|3:5|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:0|6:1|6:2|6:4|7:0|7:4|8:0|8:4|8:5|9:3|9:4|9:5,211
24,1752,0.9772072072072072,1.0,1.0,0.017231011009554986,1.0172310110095526,300,truncated,0,0,,1,56,40,0:0|0:1|0:2|0:4|0:5|0:6|0:7|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:5|5:6|6:0|6:1|6:2|6:4|7:2|7:3|7:4|8:4|8:5|9:4,211
25,1753,0.9762162162162162,0.0,0.0,0.015211831875413917,0.015211831875413917,300,truncated,0,0,,1,44,44,0:0|0:1|0:2|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:2|1:4|1:5|1:7|1:8|1:9|2:0|2:2|2:3|2:4|2:5|2:7|2:8|2:9|3:0|3:1|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:7|4:9|5:7|5:8|5:9|6:7|6:8|7:8|8:8|9:8,211
26,1754,0.9752252252252253,1.0,1.0,0.01504066588896707,1.0150406658889632,300,truncated,0,0,,1,42,34,0:0|0:1|1:0|1:2|2:0|2:2|2:3|3:0|3:1|3:2|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:4|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|8:0|8:4|8:5|9:0|9:1|9:5,211
