#{"t_start": 1788090929.5895464, "env_id": "None"}
r,l,t,phase,player_health
86.866546,1800,4.82709,3,2.0
36.426867,1800,7.804427,2,16.0
24.138493,1800,10.091229,1,72.0
-34.78531,1717,12.759699,1,0.0
-35.341199,482,13.344715,2,0.0
29.416914,1800,16.789317,2,2.0
56.342953,1538,19.622904,2,0.0
23.115131,1800,23.913673,1,44.0
-40.645689,770,25.782263,2,0.0
-28.752707,940,28.374833,2,0.0
112.916088,1800,33.402897,2,16.0
43.187537,1573,37.475587,2,0.0
-34.409699,828,39.853223,2,0.0
-4.063437,1560,43.964734,2,0.0
-44.425583,1269,47.272792,1,0.0
-29.321731,1357,50.882251,1,0.0
19.415549,1800,56.099269,1,86.0
-43.753263,1132,59.107266,2,0.0
47.613648,1418,62.737428,2,0.0
-19.924956,1350,66.047862,1,0.0
-32.035616,1106,69.120424,2,0.0
-39.194328,755,101.647307,2,0.0
55.206133,1756,107.417427,3,0.0
20.627632,1800,112.521567,1,72.0
-36.845667,900,115.130802,2,0.0
26.454552,1796,119.729011,2,0.0
-49.784226,831,122.262255,2,0.0
74.362998,1800,126.360794,2,44.0
-32.32905,812,128.679276,2,0.0
66.396168,1800,133.549787,2,16.0
-19.741826,563,134.934168,2,0.0
-1.093173,1322,138.527304,2,0.0
32.863496,1800,144.198642,2,16.0
37.493929,1800,149.732568,2,30.0
-40.929849,324,150.427056,1,0.0
5.476874,1414,154.484112,2,0.0
-36.569769,1141,157.824762,2,0.0
84.120419,1800,162.635561,2,30.0
25.020533,1800,167.662658,1,16.0
32.123714,1480,171.44139,2,0.0
27.040849,1800,176.463321,1,58.0
15.349839,1800,181.267015,1,16.0
-43.337328,612,182.834781,2,0.0
55.376806,1800,216.425526,2,2.0
-23.732826,1089,219.552683,2,0.0
19.134999,1800,224.476952,1,30.0
46.377614,1386,228.014642,2,0.0
-32.915428,831,230.269938,2,0.0
80.602721,1567,234.124967,2,0.0
-3.20204,1090,237.931384,2,0.0
-23.293915,1041,241.355797,2,0.0
-27.900833,1521,245.809703,1,0.0
-34.998675,571,247.390737,2,0.0
26.145919,1800,253.219739,2,16.0
112.350052,1800,258.325475,2,58.0
-22.437807,874,260.488903,1,0.0
-24.72954,1154,263.737341,2,0.0
-35.255252,1484,267.381561,1,0.0
31.047597,1800,272.489514,2,30.0
-56.733361,774,274.385732,2,0.0
46.245425,1311,277.721613,2,0.0
-25.603922,1152,280.755814,2,0.0
-27.589485,1797,285.877048,1,0.0
54.812165,1767,291.055127,2,0.0
-20.02546,1043,294.263165,2,0.0
106.681763,1800,328.776572,2,2.0
29.55578,1800,333.64243,1,16.0
13.68408,1800,339.554911,2,44.0
-51.502736,278,340.279625,2,0.0
-15.181773,1082,343.320159,2,0.0
-26.913149,765,345.463165,2,0.0
-32.930028,1128,348.707324,2,0.0
-33.238861,984,351.794648,2,0.0
-28.775426,827,354.10513,2,0.0
120.891307,1800,359.40652,2,30.0
-25.190145,1050,362.712719,2,0.0
55.458086,1751,367.500356,2,0.0
52.335198,893,369.772666,2,0.0
4.429858,1704,375.070555,2,0.0
-24.140587,1172,378.470522,2,0.0
120.751294,1800,383.341036,2,30.0
-31.721531,541,384.856676,2,0.0
-15.574414,1638,389.345143,1,0.0
-42.821992,1269,392.906957,2,0.0
106.753506,1800,397.85007,2,44.0
54.839015,1309,402.057046,2,0.0
-50.486433,1390,406.172954,1,0.0
32.103124,1800,411.687377,2,16.0
