#{"t_start": 1788094200.8997579, "env_id": "None"}
r,l,t,phase,player_health
-34.377795,1039,3.60957,2,0.0
-35.452742,906,4.850345,2,0.0
21.535829,1676,6.927367,2,0.0
2.826073,1800,10.165976,1,2.0
-51.137578,983,11.489154,2,0.0
37.515972,1800,14.435696,2,16.0
-35.322573,1030,15.651251,1,0.0
-38.936333,1386,18.638286,1,0.0
-36.326462,1285,23.021701,2,0.0
-36.66845,1348,27.036403,2,0.0
49.920785,1403,30.472136,2,0.0
107.777675,1800,72.481055,2,16.0
-27.158797,1657,77.970124,2,0.0
-29.035444,380,78.897526,2,0.0
-33.001449,1061,81.814504,1,0.0
32.30448,1370,85.600354,2,0.0
179.088748,1800,90.658278,3,2.0
-55.84868,666,92.607637,2,0.0
34.479656,1396,96.427396,2,0.0
115.028636,1800,100.769726,2,30.0
-9.765984,1696,106.328238,2,0.0
73.089099,1800,144.086792,3,16.0
-24.880074,673,146.144269,2,0.0
84.450121,1800,150.800469,2,2.0
-40.204423,588,152.60751,2,0.0
28.378603,1386,155.958089,2,0.0
-23.215298,1019,158.935404,2,0.0
-34.037256,1251,162.180454,1,0.0
-12.179296,1088,165.637802,2,0.0
22.570413,1800,170.285002,1,44.0
-38.138181,637,171.946122,2,0.0
-31.795084,598,173.675728,2,0.0
-18.042475,882,176.09607,2,0.0
-14.393898,1735,182.092166,2,0.0
-40.599177,1330,185.820974,1,0.0
-31.420345,843,223.609282,2,0.0
-49.827379,835,226.071103,2,0.0
-34.169147,1356,229.838969,1,0.0
44.895793,1136,232.915391,2,0.0
57.109798,1800,237.607977,2,2.0
-57.284539,808,239.994912,1,0.0
102.167038,1800,244.194823,2,16.0
19.298434,1800,249.778618,2,2.0
-5.947094,1740,254.554474,2,0.0
25.946332,1800,260.283621,2,16.0
70.114857,1800,299.235987,2,2.0
23.41123,1800,303.863508,1,58.0
-38.26869,1124,307.03913,2,0.0
31.71618,1800,311.527981,1,2.0
-58.428172,795,313.655349,2,0.0
-32.397231,1734,318.757948,2,0.0
25.450298,1195,321.716455,2,0.0
-33.783844,1354,325.644653,2,0.0
-17.578355,1033,328.494407,2,0.0
9.442169,1800,333.373031,1,16.0
27.412974,1668,337.649732,2,0.0
-33.587485,1254,376.867784,2,0.0
80.834364,1800,381.909776,2,44.0
-32.784408,977,384.904199,2,0.0
-26.228789,1030,387.898611,2,0.0
37.351199,1343,391.284493,2,0.0
-31.052523,629,392.894234,2,0.0
24.723575,1800,397.581029,1,16.0
-47.351985,1077,400.535221,1,0.0
-33.383144,889,403.069938,2,0.0
33.633834,1800,407.512019,1,44.0
32.396695,1800,411.974922,1,16.0
-13.722496,1800,454.519889,2,30.0
-64.420765,1505,458.96535,2,0.0
-47.850865,912,461.48037,2,0.0
17.605282,1800,466.802586,2,2.0
-36.9743,1199,470.239692,2,0.0
-19.726298,519,471.616647,2,0.0
-30.09636,550,473.134684,2,0.0
-31.49741,698,474.913221,1,0.0
-43.849533,945,477.586041,2,0.0
-26.419017,1472,482.468829,1,0.0
-25.451697,1780,488.404369,1,0.0
-12.543905,1800,494.997117,2,16.0
-36.76207,1416,536.69667,2,0.0
72.029349,1800,541.450898,2,30.0
-62.701899,753,543.610531,2,0.0
18.855989,1800,548.556593,1,44.0
38.242399,1718,553.55385,3,0.0
30.499864,1209,556.896504,2,0.0
70.082444,1800,561.304498,2,58.0
-23.272409,1192,564.158997,1,0.0
-33.986194,1363,568.520931,2,0.0
-27.620731,1086,571.614766,2,0.0
43.460487,1079,574.068015,2,0.0
20.632982,1800,618.168787,1,44.0
-34.056836,1022,620.936135,2,0.0
22.004044,1324,624.280754,2,0.0
-52.091104,737,626.525908,1,0.0
-14.079968,1101,629.848786,2,0.0
52.013198,1358,633.700956,2,0.0
-32.682502,1106,637.192261,2,0.0
-38.169238,797,639.549828,2,0.0
48.494031,1386,643.493963,2,0.0
39.644386,1482,647.91036,2,0.0
103.769504,1800,652.868938,2,44.0
36.770783,1800,693.959265,1,30.0
44.135924,1067,696.584379,2,0.0
69.767795,1734,701.22466,2,0.0
-29.613439,936,704.050292,2,0.0
-29.363677,881,706.524511,2,0.0
78.703451,1800,711.320841,2,16.0
32.822689,1686,715.306746,2,0.0
12.919451,1800,720.633215,1,2.0
-31.464388,1026,723.7759,2,0.0
49.053209,1791,728.355026,2,0.0
50.939726,1775,732.985282,3,0.0
